ID,Swahili Sentence,English Translation,Key Structure / Focus
53,Njia inayoelekea hospitali ni hii.,The road that leads to the hospital is this one.,Relative marker -yo- (Class 9)
54,Walimu wanaofundisha hapa ni wazuri.,The teachers who teach here are good.,Relative marker -o- (Class 2)
55,Mti ulioanguka uliziba barabara.,The tree that fell blocked the road.,Relative marker -o- (Class 3)
56,Gari lililonunuliwa ni jipya.,The car that was bought is new.,Relative marker -lo- (Class 5)
57,Maneno aliyosema ni ya kweli.,The words he/she spoke are true.,Relative marker -yo- (Class 6)
58,Kitu kinachouma ni jino.,The thing that hurts is a tooth.,Relative marker -cho- (Class 7)
59,Sehemu tunayokwenda ni mbali.,The place we are going to is far.,Relative marker -yo- (Class 9/16)
60,Wakati utakapowasili nitakuwepo.,When you arrive I will be present.,Time relative -taka-po-
61,Sisomi kitabu hiki.,I am not reading this book.,Present negative Si-
62,Hali chakula hiki.,He/she does not eat this food.,Present negative Ha-...-i
63,Hatutakwenda kesho.,We will not go tomorrow.,Future negative Hatu-ta-
64,Sikumuona jana.,I did not see him/her yesterday.,Past negative Siku-
65,Hamjamaliza kazi bado.,You (plural) have not finished work yet.,Perfective negative Hamja-
66,Soma kitabu!,Read the book!,Singular imperative
67,Someni vitabu!,Read (plural) the books!,Plural imperative -ni
68,Usiende kule!,Do not go there!,Negative imperative Usi-
69,Msile chakula hiki!,Do not (plural) eat this food!,Plural negative imperative Msi-
70,Ndizi hazijawiva.,The bananas have not yet ripened.,Class 10 negative ha-zi-ja-
71,Mfuko huu hauna kitu.,This bag has nothing inside.,Class 3 negative ha-u-na
72,Magari hayo hayafanyi kazi.,Those cars do not work.,Class 6 negative ha-ya-
73,Sijui jina lake.,I do not know his/her name.,Negative present Si-jui
74,Hakuna mtu nyumbani.,There is nobody at home.,Locative negation Ha-ku-na
75,Huwa sili nyama.,I usually do not eat meat.,Habitual negation Huwa sili
76,Barua hii imeandikwa vizuri.,This letter is written well.,Passive extension -wa (andika -> andikwa)
77,Mlango ulifunguka kwa upepo.,The door opened due to the wind.,Stative extension -ka (fungua -> funguka)
78,Walisaidiana wakati wa shida.,They helped each other in time of trouble.,Reciprocal extension -ana (saidia -> saidiana)
79,Alimwandikia rafiki yake barua.,He/she wrote a letter to/for his/her friend.,Prepositional extension -ia (andika -> andikia)
80,Mwalimu alimfanyisha mwanafunzi mazoezi.,The teacher made the student do exercises.,Causative extension -isha (fanya -> fanyisha)
81,Kioo kimevunjika.,The glass is broken.,Stative extension -ka (vunja -> vunjika)
82,Chakula hiki kinalika.,This food is edible.,Potential/Stative -lika (la -> lika)
83,Wanapendana sana.,They love each other very much.,Reciprocal extension -ana (penda -> pendana)
84,Alimpatisha kazi mpya.,He/she caused him/her to get a new job.,Causative extension -isha (pata -> patisha)
85,Alimnunulia mtoto viatu.,He/she bought shoes for the child.,Prepositional extension -ia (nunua -> nunulia)
86,Nyumba ilijengwa mwaka jana.,The house was built last year.,Passive extension -wa (jenga -> jengwa)
87,Swali hili linajulikana.,This question is known.,Stative extension -kana (jua -> julikana)
88,Alinieleza habari zote.,He/she explained all the news to me.,Prepositional/Causative combo
89,Mikutano hii inaingiliana.,These meetings overlap each other.,Reciprocal extension -ana
90,Kazi hii inafanyika kwa urahisi.,This work is doable easily.,Stative extension -kika (fanya -> fanyika)
91,Ukisoma kwa bidii utafaulu.,If you study hard you will pass.,Real condition -ki-
92,Kama ungalijua usingekwenda.,"Had you known (past unfulfilled), you wouldn't have gone.",Past unfulfilled condition -ngali-
93,Ningekuwa na pesa ningenunua gari.,"If I had money (present hypothetical), I would buy a car.",Present hypothetical -nge-
94,Nenda dukani ukanunue maziwa.,Go to the store and buy milk.,Subjunctive marker -e + Consecutive -ka-
95,Ni lazima tuondoke sasa.,It is necessary that we leave now.,Obligation + Subjunctive final vowel -e
96,Alisema kwamba atakuja kesho.,He/she said that he/she will come tomorrow.,Complementizer kwamba
97,Ungawa ni mgonjwa anafanya kazi.,"Although he/she is sick, he/she works.",Concession Ungawa
98,Isipokuwa mvua inanyesha tutakwenda.,"Unless it rains, we will go.",Negative conditional Isipokuwa
99,Aliondoka bila kusema kwa heri.,He/she left without saying goodbye.,Preposition bila + Infinitive kusema
100,Iwapo utahitaji msaada nipigie simu.,"In case you need help, call me.",Conditional conjunction Iwapo
